Fecha,Casos Positivos,Sospechosos,Casos Negativos
2/16/2020,0,0,0
2/17/2020,0,0,0
2/18/2020,0,0,0
2/19/2020,0,0,0
2/20/2020,0,0,0
2/21/2020,0,0,0
2/22/2020,0,0,0
2/23/2020,0,0,0
2/24/2020,0,0,0
2/25/2020,0,0,0
2/26/2020,0,0,18
2/27/2020,0,1,22
2/28/2020,3,3,37
2/29/2020,4,8,46
3/1/2020,5,11,60
3/2/2020,5,21,69
3/3/2020,5,39,75
3/4/2020,5,26,112
3/5/2020,5,35,143
3/6/2020,6,36,163
3/7/2020,7,30,186
3/8/2020,7,24,201
3/9/2020,7,12,218
3/10/2020,7,37,234
3/11/2020,11,49,264
3/12/2020,15,82,298
3/13/2020,26,105,344
3/14/2020,41,155,404
3/15/2020,53,176,482
3/16/2020,82,171,579
3/17/2020,93,206,673
3/18/2020,118,314,787
3/19/2020,164,448,921
3/20/2020,203,606,1111
3/21/2020,251,697,1463
3/22/2020,316,793,1667
3/23/2020,367,826,865
3/24/2020,405,1219,2116
